,Age,Gender,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,age_range
0,0.4318181818181818,0,0,0,1,2,4,0,1,2,1,1,2,2,2,1,1,1,2,1,0,2,0,2
1,0.5909090909090909,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2
2,0.3181818181818182,1,0,0,0,3,4,0,1,1,0,1,1,0,1,1,1,2,2,2,2,1,0,2
3,0.29545454545454547,1,0,1,1,2,2,0,1,1,2,1,1,1,1,2,2,1,0,0,0,1,1,2
4,0.29545454545454547,1,0,0,0,1,1,1,1,2,0,0,0,0,0,1,1,1,2,2,2,0,0,2
5,0.34090909090909094,1,0,1,0,4,4,0,1,2,1,1,0,0,0,1,1,2,2,1,0,0,0,2
6,0.38636363636363635,0,0,1,1,4,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,2
7,0.4772727272727273,1,0,0,0,1,0,1,1,1,2,1,1,2,0,1,1,0,0,1,1,1,0,2
8,0.5454545454545454,0,0,1,1,4,1,0,1,2,2,1,1,1,3,0,1,2,2,1,0,1,0,2
9,0.11363636363636365,1,0,0,0,1,2,0,1,0,0,0,0,0,0,1,1,2,2,0,0,2,0,1
10,0.29545454545454547,1,0,0,1,4,4,1,1,0,0,1,1,0,0,1,1,1,2,1,1,0,0,2
11,0.25,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,2,2,2,2,0,0,1
12,0.5454545454545454,0,0,1,1,4,2,0,0,2,2,1,1,0,1,2,2,2,2,0,0,1,1,2
13,0.4090909090909091,1,0,1,0,1,3,0,1,0,1,1,0,0,0,1,1,2,2,1,1,0,0,2
14,0.20454545454545456,1,0,0,0,1,4,0,1,0,1,0,0,0,2,1,1,1,1,0,2,2,0,1
15,0.25,0,0,1,1,3,2,0,1,2,1,1,1,0,2,1,1,2,1,0,0,0,0,1
16,0.11363636363636365,1,0,0,1,4,2,1,1,0,0,0,0,0,4,0,1,1,0,0,0,1,0,1
17,0.3181818181818182,1,0,0,1,4,4,0,1,2,2,1,0,0,0,0,1,1,2,1,1,1,0,2
18,0.6363636363636364,1,1,1,0,4,0,1,1,2,1,2,0,2,4,1,1,2,2,1,2,2,1,2
19,0.4090909090909091,1,1,1,0,0,4,1,1,1,0,2,1,2,2,1,1,1,1,0,0,0,0,2
20,0.25,1,0,1,1,4,1,0,1,2,2,1,1,1,1,0,1,1,1,1,1,1,0,1
21,0.29545454545454547,1,1,0,0,1,0,1,1,1,0,1,1,2,1,1,1,1,1,1,0,2,0,2
22,0.6363636363636364,1,0,0,1,2,2,1,1,2,2,1,1,0,0,0,1,1,2,1,0,1,0,2
23,0.5227272727272727,1,0,0,1,1,5,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,2
24,0.34090909090909094,1,0,1,1,3,2,0,1,2,1,0,2,2,0,1,1,2,2,1,2,0,0,2
25,0.38636363636363635,1,0,1,1,4,5,0,0,2,2,1,0,1,4,2,1,1,2,1,2,1,0,2
26,0.34090909090909094,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,2
27,0.38636363636363635,0,0,1,1,3,4,1,1,2,2,0,0,0,0,1,1,2,2,0,0,2,0,2
